,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-16,19-004,SJS,WPG,W,0,1,1,-2,2,0,0,0,0,0,1,0,1,0.0,20,14:01,1,0,0,
1,2021-10-19,19-007,SJS,MTL,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,21,15:50,0,0,1,0.0
2,2021-10-21,19-009,SJS,OTT,W,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,14,10:30,2,0,0,
3,2021-10-22,19-010,SJS,TOR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,11:19,0,0,1,0.0
4,2021-10-26,19-014,SJS,NSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:51,0,1,2,33.3
5,2021-10-28,19-016,SJS,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,16:18,0,1,0,100.0
6,2021-10-30,19-018,SJS,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,17:33,0,0,0,
7,2021-11-02,19-021,SJS,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,18,13:06,0,1,0,100.0
8,2021-11-04,19-023,SJS,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,15:29,1,0,1,0.0
9,2023-03-04,20-143,SJS,WSH,L,0,1,1,-3,0,0,0,0,0,0,1,0,4,0.0,23,19:46,1,0,1,0.0
10,2023-03-06,20-145,SJS,WPG,W,0,0,0,2,2,0,0,0,0,0,0,0,1,0.0,21,19:44,2,0,0,
11,2023-03-07,20-146,SJS,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,18:06,0,0,0,
12,2023-03-09,20-148,SJS,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,28,22:17,1,1,0,100.0
13,2023-03-11,20-150,SJS,MIN,L,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,21,19:07,1,1,1,50.0
14,2023-03-14,20-153,SJS,CBJ,L-OT,1,0,1,-2,0,1,0,0,0,0,0,0,2,50.0,24,21:41,0,0,2,0.0
15,2023-03-16,20-155,SJS,SEA,L-OT,1,0,1,1,2,1,0,0,0,0,0,0,3,33.3,23,20:40,2,0,0,
16,2023-03-18,20-157,SJS,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,17:21,0,0,0,
17,2023-10-12,21-000,SJS,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:42,0,0,0,
18,2023-10-14,21-002,SJS,COL,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,14:14,0,0,0,
19,2023-10-17,21-005,SJS,CAR,L,1,0,1,-1,0,0,1,0,0,0,0,0,2,50.0,19,16:00,1,0,1,0.0
20,2023-10-19,21-007,SJS,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,22,20:01,0,1,2,33.3
21,2023-10-21,21-009,SJS,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,19,13:55,0,0,0,
22,2023-10-24,21-012,SJS,FLA,L,0,1,1,0,0,0,0,0,0,0,1,0,1,0.0,18,15:59,0,1,1,50.0
23,2023-10-26,21-014,SJS,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,17:50,3,0,0,
24,2023-10-27,21-015,SJS,CAR,L,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,18,17:01,1,1,1,50.0
25,2023-10-29,21-017,SJS,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,16:57,2,0,0,
26,2023-11-02,21-021,SJS,VAN,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,22,18:25,1,0,0,
27,2023-11-04,21-023,SJS,PIT,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,20:21,0,1,1,50.0
28,2023-11-07,21-026,SJS,PHI,W,1,0,1,0,0,0,1,0,1,0,0,0,2,50.0,27,21:54,0,0,1,0.0
29,2023-11-09,21-028,SJS,EDM,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0.0,26,21:08,0,0,1,0.0
30,2023-11-10,21-029,SJS,VEG,L,0,0,0,-1,2,0,0,0,0,0,0,0,0,,20,20:00,0,0,0,
31,2023-11-12,21-031,SJS,ANA,L,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,21:13,1,1,1,50.0
