,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-12-31,23-312,EDM,NYR,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,11:51,0,0,0,
1,2020-01-02,23-314,EDM,BUF,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:22,0,0,0,
2,2020-02-06,23-349,EDM,SJS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,18,12:15,0,0,0,
3,2020-02-19,23-362,EDM,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,12:26,2,0,0,
4,2020-02-21,23-364,EDM,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,13:12,0,0,0,
5,2020-02-23,24-001,EDM,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,9:51,1,0,0,
6,2020-02-25,24-003,EDM,ANA,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,13:15,0,0,0,
7,2020-02-26,24-004,EDM,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,12:43,1,0,0,
8,2021-01-18,24-331,EDM,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:15,1,0,0,
9,2021-01-31,24-344,EDM,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,27,19:34,3,0,0,
10,2021-02-02,24-346,EDM,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,12,8:53,0,0,0,
11,2021-02-06,24-350,EDM,CGY,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,13,9:28,0,0,0,
12,2021-02-08,24-352,EDM,OTT,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,21,16:05,0,0,0,
13,2021-02-09,24-353,EDM,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,14:23,1,0,0,
14,2021-02-11,24-355,EDM,MTL,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,24,17:08,1,0,0,
15,2021-02-15,24-359,EDM,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,10,6:47,0,0,0,
16,2021-03-10,25-016,EDM,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,21,19:20,1,0,0,
17,2021-03-12,25-018,EDM,OTT,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0.0,25,17:58,1,0,0,
18,2021-03-13,25-019,EDM,VAN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,18:10,0,0,0,
19,2021-03-15,25-021,EDM,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,14:15,2,0,0,
