,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-05-18,22-332,VAN,CGY,W,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,19,12:44,3,0,0,
1,2021-05-19,22-333,VAN,CGY,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,21,15:39,3,0,0,
2,2022-03-26,23-279,VAN,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:04,3,0,0,
3,2022-03-28,23-281,VAN,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,10:12,4,0,0,
4,2022-03-30,23-283,VAN,STL,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,13,9:34,2,0,0,
5,2022-04-03,23-287,VAN,VEG,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,10,6:57,5,0,0,
6,2022-04-06,23-290,VAN,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:11,3,0,0,
7,2022-04-07,23-291,VAN,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:02,7,0,0,
8,2022-04-09,23-293,VAN,SJS,W,0,0,0,0,7,0,0,0,0,0,0,0,1,0.0,15,9:38,3,0,0,
9,2022-04-12,23-296,VAN,VEG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:53,4,0,0,
10,2022-04-14,23-298,VAN,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,15:43,5,0,0,
11,2022-04-18,23-302,VAN,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:36,4,0,0,
12,2022-04-19,23-303,VAN,OTT,L-SO,0,0,0,-1,0,0,0,0,0,0,0,0,0,,16,12:54,4,0,0,
13,2022-04-21,23-305,VAN,MIN,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,18,12:29,2,0,0,
14,2022-04-23,23-307,VAN,CGY,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,14,8:12,3,0,0,
15,2022-11-15,24-148,VAN,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,17,10:18,2,0,0,
16,2022-12-31,24-194,VAN,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,11:31,3,0,0,
17,2023-01-03,24-197,VAN,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,13:00,4,0,0,
18,2023-01-05,24-199,VAN,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,9:39,8,0,0,
19,2023-01-08,24-202,VAN,WPG,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,9:58,1,0,0,
20,2023-01-10,24-204,VAN,PIT,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,13,8:47,3,0,0,
21,2023-01-12,24-206,VAN,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,10:07,4,0,0,
22,2023-01-14,24-208,VAN,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,5:32,2,0,0,
23,2023-01-15,24-209,VAN,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,13:08,3,0,0,
24,2023-01-18,24-212,VAN,TBL,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,15,10:37,1,0,0,
25,2023-01-20,24-214,VAN,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:34,4,0,0,
26,2023-01-21,24-215,VAN,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,13:11,1,0,0,
27,2023-01-24,24-218,VAN,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,6:14,1,0,0,
28,2023-10-24,25-126,FLA,SJS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,12,7:31,2,0,0,
29,2023-10-28,25-130,FLA,SEA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,11,6:17,0,0,0,
30,2023-11-02,25-135,FLA,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,8,7:08,3,0,0,
31,2023-11-04,25-137,FLA,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:02,2,0,0,
32,2023-11-06,25-139,FLA,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,12,7:53,1,1,0,100.0
