,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-10-19,22-279,NSH,FLA,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,0,,18,12:35,1,0,0,
1,2019-12-07,22-328,NSH,NJD,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50.0,11,7:53,1,0,0,
2,2019-12-14,22-335,NSH,DAL,L,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,10:14,4,0,0,
3,2019-12-16,22-337,NSH,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,13,7:54,0,0,0,
4,2019-12-17,22-338,NSH,NYI,W,0,1,1,2,0,0,0,0,0,1,0,0,0,,14,9:07,3,0,0,
5,2019-12-19,22-340,NSH,OTT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,13:24,5,0,0,
6,2020-01-04,22-356,NSH,LAK,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,12:27,1,0,0,
7,2020-01-05,22-357,NSH,ANA,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,0,,20,13:30,1,1,0,100.0
8,2020-01-07,22-359,NSH,BOS,L,0,0,0,-3,5,0,0,0,0,0,0,0,0,,14,7:27,4,1,0,100.0
9,2020-01-09,22-361,NSH,CHI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,15,10:05,2,0,0,
10,2020-01-12,22-364,NSH,WPG,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,12,10:26,4,0,0,
11,2020-01-14,23-001,NSH,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,12:02,3,0,0,
12,2020-01-16,23-003,NSH,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,10:11,2,0,0,
13,2020-01-30,23-017,NSH,NJD,W,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,13,8:38,0,0,1,0.0
14,2020-02-04,23-022,NSH,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,10,7:43,1,0,0,
15,2020-02-06,23-024,NSH,CGY,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,14,10:13,1,0,0,
16,2020-02-08,23-026,NSH,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:11,2,0,0,
17,2020-03-03,23-050,NSH,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,9,6:45,0,0,0,
18,2020-03-05,23-052,NSH,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,7:18,4,0,0,
19,2020-03-07,23-054,NSH,DAL,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,11,8:36,1,1,0,100.0
20,2020-03-10,23-057,NSH,MTL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,12,10:47,6,0,0,
21,2021-01-22,24-009,NSH,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,7:58,1,0,0,
22,2021-01-24,24-011,NSH,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,6:35,1,0,0,
23,2021-01-26,24-013,NSH,CHI,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,10,8:47,2,0,0,
24,2021-01-27,24-014,NSH,CHI,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,8,7:15,1,0,0,
25,2021-01-30,24-017,NSH,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,14,10:59,2,0,0,
26,2021-02-01,24-019,NSH,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,10:38,2,0,0,
27,2021-02-04,24-022,NSH,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,11:21,2,0,0,
28,2021-02-05,24-023,NSH,FLA,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,14,9:23,2,0,0,
29,2021-02-08,24-026,NSH,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:44,2,0,0,
30,2021-02-09,24-027,NSH,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,12,11:19,1,1,0,100.0
31,2021-02-11,24-029,NSH,DET,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,14,10:06,2,0,0,
32,2021-02-13,24-031,NSH,DET,L,0,0,0,1,0,0,0,0,0,0,0,0,0,,9,6:48,2,0,0,
33,2021-02-20,24-038,NSH,CBJ,W,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,16,12:27,4,0,0,
34,2021-03-07,24-053,NSH,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:30,3,0,0,
35,2021-03-09,24-055,NSH,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:46,4,0,2,0.0
36,2021-03-11,24-057,NSH,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,16,11:25,2,0,0,
37,2021-03-13,24-059,NSH,TBL,L,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,15,13:04,1,0,0,
