,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2015-12-15,24-000,TBL,TOR,W,0,1,1,1,2,0,0,0,0,1,0,0,0,,10,6:55,0,0,0,
1,2015-12-18,24-003,TBL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,7:43,2,0,0,
2,2016-12-29,25-014,TBL,TOR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,9:49,0,0,0,
3,2016-12-31,25-016,TBL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:12,0,3,0,100.0
4,2017-03-06,25-081,TBL,NYR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:09,0,0,1,0.0
5,2017-03-09,25-084,TBL,MIN,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,20,16:35,0,2,2,50.0
6,2017-03-11,25-086,TBL,FLA,W,1,0,1,0,0,0,0,1,0,0,0,0,2,50.0,23,17:09,0,1,2,33.3
7,2017-03-13,25-088,TBL,NYR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,17:10,3,0,2,0.0
8,2017-03-14,25-089,TBL,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,25,20:20,0,1,4,20.0
9,2017-03-16,25-091,TBL,TOR,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,20,15:27,1,1,2,33.3
10,2017-03-18,25-093,TBL,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,15:17,1,5,10,33.3
11,2017-03-21,25-096,TBL,ARI,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,16:12,1,8,2,80.0
12,2017-03-23,25-098,TBL,BOS,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,12:22,0,4,10,28.6
13,2017-03-24,25-099,TBL,DET,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,16:51,1,6,6,50.0
14,2017-03-27,25-102,TBL,CHI,W,1,0,1,0,0,1,0,0,1,0,0,0,1,100.0,23,16:30,0,4,11,26.7
15,2017-03-30,25-105,TBL,DET,W,1,0,1,-1,0,1,0,0,0,0,0,0,3,33.3,24,22:44,1,2,6,25.0
16,2017-04-01,25-107,TBL,MTL,L-OT,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,14:20,0,4,6,40.0
17,2017-04-02,25-108,TBL,DAL,W,0,1,1,-1,2,0,0,0,0,1,0,0,3,0.0,23,15:06,0,7,6,53.8
18,2017-04-04,25-110,TBL,BOS,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,25,17:45,1,3,11,21.4
19,2017-04-06,25-112,TBL,TOR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,23,13:51,0,2,11,15.4
20,2017-04-07,25-113,TBL,MTL,W,2,0,2,3,0,2,0,0,0,0,0,0,3,66.7,26,14:57,2,3,5,37.5
21,2017-04-09,25-115,TBL,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,20,16:35,0,4,6,40.0
22,2017-10-06,25-295,TBL,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,18,13:36,2,1,0,100.0
23,2017-10-07,25-296,TBL,FLA,L,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,14:42,1,0,0,
24,2017-10-09,25-298,TBL,WSH,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,19,14:44,0,1,1,50.0
25,2017-10-12,25-301,TBL,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,15:45,0,2,2,50.0
26,2017-10-14,25-303,TBL,STL,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,23,17:38,0,0,0,
27,2017-10-16,25-305,TBL,DET,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,16:46,1,2,5,28.6
28,2017-10-17,25-306,TBL,NJD,L-SO,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,25,18:50,0,3,5,37.5
29,2017-10-19,25-308,TBL,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,24,18:18,1,2,2,50.0
30,2017-10-21,25-310,TBL,PIT,W,1,1,2,2,2,1,0,0,0,1,0,0,4,25.0,27,18:24,0,3,6,33.3
31,2017-10-24,25-313,TBL,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,17:38,0,2,6,25.0
32,2017-10-26,25-315,TBL,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,20,16:54,0,1,2,33.3
33,2017-10-28,25-317,TBL,ANA,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,20,17:39,2,3,2,60.0
34,2017-10-30,25-319,TBL,FLA,W,1,1,2,2,0,0,1,0,0,1,0,0,2,50.0,27,18:30,0,1,3,25.0
35,2017-11-02,25-322,TBL,NYR,L-OT,1,0,1,0,0,0,0,1,0,0,0,0,3,33.3,25,20:12,1,1,6,14.3
36,2017-11-04,25-324,TBL,CBJ,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,21,16:55,0,2,3,40.0
37,2017-11-08,25-328,TBL,SJS,W,0,2,2,2,2,0,0,0,0,2,0,0,1,0.0,23,17:46,0,1,5,16.7
38,2017-11-09,25-329,TBL,LAK,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,26,19:37,0,3,2,60.0
39,2017-11-12,25-332,TBL,ANA,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,22,16:16,0,2,3,40.0
40,2017-11-16,25-336,TBL,DAL,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,27,21:33,0,2,3,40.0
41,2017-11-18,25-338,TBL,NYI,L,2,0,2,1,0,2,0,0,0,0,0,0,4,50.0,21,17:23,0,0,1,0.0
42,2017-11-22,25-342,TBL,CHI,W,0,0,0,-1,2,0,0,0,0,0,0,0,0,,23,16:58,0,2,3,40.0
43,2017-11-24,25-344,TBL,WSH,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,22,17:20,0,1,3,25.0
44,2017-11-25,25-345,TBL,PIT,L,0,1,1,-1,0,0,0,0,0,0,1,0,1,0.0,21,14:28,1,2,1,66.7
