,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-10-19,20-260,CBJ,DET,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,17,12:00,0,0,0,
1,2021-10-21,20-262,CBJ,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,14,10:03,0,0,0,
2,2021-10-23,20-264,CBJ,CAR,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,17,10:39,1,0,0,
3,2021-10-25,20-266,CBJ,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:43,0,0,1,0.0
4,2021-11-03,20-275,CBJ,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,17,9:15,0,0,0,
5,2021-11-06,20-278,CBJ,COL,W,0,2,2,1,0,0,0,0,0,2,0,0,2,0.0,20,16:19,0,0,0,
6,2021-11-12,20-284,CBJ,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,18,13:02,0,0,0,
7,2021-11-13,20-285,CBJ,NYR,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,22,15:30,0,0,0,
8,2021-11-15,20-287,CBJ,DET,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25.0,19,13:04,1,0,0,
9,2021-11-18,20-290,CBJ,ARI,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,16:28,0,0,0,
10,2021-11-20,20-292,CBJ,VEG,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,16:07,0,0,0,
11,2021-11-22,20-294,CBJ,BUF,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,20,11:43,0,0,0,
12,2021-11-24,20-296,CBJ,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,17,12:55,0,0,0,
13,2021-11-26,20-298,CBJ,VAN,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,19,13:26,0,0,0,
14,2021-11-27,20-299,CBJ,STL,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,17,13:35,0,0,0,
15,2021-11-30,20-302,CBJ,NSH,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0.0,20,11:36,0,0,0,
16,2021-12-02,20-304,CBJ,DAL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:48,0,0,0,
17,2021-12-04,20-306,CBJ,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,10:51,1,0,0,
18,2021-12-16,20-318,CBJ,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,17,14:15,0,0,0,
19,2021-12-30,20-332,CBJ,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,15,9:55,1,0,0,
20,2022-01-01,20-334,CBJ,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,17,13:11,0,0,0,
21,2022-01-04,20-337,CBJ,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,18,13:47,1,0,0,
