,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2021-01-14,22-222,NJD,BOS,L-SO,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,24,17:23,0,4,1,80.0
1,2021-01-16,22-224,NJD,BOS,W,1,0,1,1,0,1,0,0,1,0,0,0,3,33.3,27,17:01,0,0,3,0.0
2,2021-01-19,22-227,NJD,NYR,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,24,18:30,1,3,5,37.5
3,2021-01-21,22-229,NJD,NYI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:53,1,0,6,0.0
4,2021-01-24,22-232,NJD,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,16:24,0,0,0,
5,2021-01-26,22-234,NJD,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,20,13:25,0,0,2,0.0
6,2021-01-28,22-236,NJD,PHI,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,13,8:26,1,1,6,14.3
7,2021-01-30,22-238,NJD,BUF,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,11:01,1,2,6,25.0
8,2021-01-31,22-239,NJD,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,15,14:18,0,0,0,
9,2021-02-16,22-255,NJD,NYR,W,1,0,1,2,0,1,0,0,1,0,0,0,3,33.3,22,16:16,1,0,0,
10,2021-02-18,22-257,NJD,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,17,11:47,1,0,1,0.0
11,2021-02-20,22-259,NJD,BUF,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,12:55,0,1,0,100.0
12,2021-02-25,22-264,NJD,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,10,8:31,0,0,0,
13,2021-02-27,22-266,NJD,WSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,16,10:35,0,0,0,
14,2021-02-28,22-267,NJD,WSH,L,1,0,1,0,0,1,0,0,0,0,0,0,1,100.0,19,14:47,0,0,2,0.0
15,2021-03-02,22-269,NJD,NYI,L,0,1,1,1,0,0,0,0,0,1,0,0,4,0.0,22,18:12,0,0,2,0.0
16,2021-03-04,22-271,NJD,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,23,15:39,0,3,1,75.0
17,2021-03-06,22-273,NJD,NYR,L,0,1,1,0,0,0,0,0,0,1,0,0,3,0.0,21,14:23,0,0,1,0.0
18,2021-03-07,22-274,NJD,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,16:21,0,0,1,0.0
19,2021-03-09,22-276,NJD,WSH,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,26,17:30,0,0,1,0.0
20,2021-03-11,22-278,NJD,NYI,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,23,19:06,0,0,1,0.0
