,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-02-03,23-177,PIT,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,12,6:24,1,0,0,
1,2018-02-06,23-180,PIT,VEG,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,18,10:47,3,1,0,100.0
2,2018-02-09,23-183,PIT,DAL,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,0,,21,13:16,3,0,0,
3,2018-02-11,23-185,PIT,STL,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,14:40,3,0,0,
4,2018-02-13,23-187,PIT,OTT,W,2,0,2,2,0,2,0,0,1,0,0,0,4,50.0,21,14:29,2,0,0,
5,2018-02-15,23-189,PIT,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,21,14:18,3,0,1,0.0
6,2018-02-17,23-191,PIT,TOR,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25.0,24,16:17,7,0,1,0.0
7,2018-02-18,23-192,PIT,CBJ,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,21,16:56,4,0,0,
8,2018-02-23,23-197,PIT,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,16,10:54,4,0,1,0.0
9,2018-02-24,23-198,PIT,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,14,9:25,2,0,0,
10,2018-03-27,23-229,PIT,DET,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,11:36,4,0,0,
11,2018-03-29,23-231,PIT,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,8,5:57,0,0,0,
12,2018-03-31,23-233,PIT,MTL,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:16,6,0,0,
13,2018-04-01,23-234,PIT,WSH,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0.0,14,7:51,4,0,2,0.0
14,2018-04-05,23-238,PIT,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,7:32,0,0,0,
15,2018-04-06,23-239,PIT,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,20,14:23,9,0,0,
16,2018-11-07,24-089,PIT,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:27,2,0,1,0.0
17,2018-11-10,24-092,PIT,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,11:44,4,1,0,100.0
18,2018-11-13,24-095,PIT,NJD,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,11:58,2,1,1,50.0
19,2018-11-15,24-097,PIT,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,18,10:09,3,2,0,100.0
20,2018-11-17,24-099,PIT,OTT,L,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,19,13:57,2,0,1,0.0
21,2018-11-19,24-101,PIT,BUF,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,13:05,5,0,0,
22,2018-11-21,24-103,PIT,DAL,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,25,17:09,2,0,0,
23,2018-11-23,24-105,PIT,BOS,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,27,15:07,1,0,0,
24,2018-11-24,24-106,PIT,CBJ,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,15:55,3,0,0,
25,2018-11-27,24-109,PIT,WPG,W,1,0,1,1,0,1,0,0,1,0,0,0,2,50.0,20,15:58,0,0,1,0.0
26,2018-11-28,24-110,PIT,COL,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,19,13:41,1,0,0,
27,2018-12-01,24-113,PIT,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,22,17:01,6,1,0,100.0
28,2018-12-04,24-116,PIT,COL,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,24,18:30,5,0,0,
29,2018-12-06,24-118,PIT,NYI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,12:16,6,0,0,
30,2018-12-08,24-120,PIT,OTT,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,15:45,4,1,0,100.0
31,2018-12-10,24-122,PIT,NYI,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,21,15:24,8,2,1,66.7
32,2018-12-12,24-124,PIT,CHI,L,0,1,1,2,0,0,0,0,0,1,0,0,2,0.0,17,11:10,3,0,0,
33,2018-12-14,24-126,PIT,BOS,W,2,1,3,2,0,1,0,1,0,1,0,0,5,40.0,23,14:13,9,0,0,
34,2018-12-15,24-127,PIT,LAK,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,12:39,7,0,0,
35,2018-12-17,24-129,PIT,ANA,L,0,0,0,0,2,0,0,0,0,0,0,0,4,0.0,22,15:24,5,0,0,
36,2018-12-19,24-131,PIT,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,11:58,0,0,0,
37,2018-12-20,24-132,PIT,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,19,10:57,3,0,0,
38,2018-12-22,24-134,PIT,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,12:14,2,0,0,
39,2018-12-27,24-139,PIT,DET,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,15,10:23,2,0,0,
