,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-02-29,23-265,TOR,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,15:58,1,0,0,
1,2016-03-02,23-267,TOR,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:04,1,1,0,100.0
2,2016-03-03,23-268,TOR,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,21,17:51,1,0,1,0.0
3,2016-03-05,23-270,TOR,OTT,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,24,14:59,4,0,1,0.0
4,2016-03-07,23-272,TOR,BUF,L-SO,1,0,1,-1,2,1,0,0,0,0,0,0,4,25.0,25,16:12,1,0,0,
5,2016-03-09,23-274,TOR,NYI,W,1,0,1,0,2,1,0,0,0,0,0,0,1,100.0,23,15:10,0,0,0,
6,2016-03-12,23-277,TOR,OTT,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,21,14:19,3,0,0,
7,2016-03-13,23-278,TOR,DET,W,0,0,0,1,0,0,0,0,0,0,0,0,4,0.0,21,14:04,0,0,0,
8,2016-03-15,23-280,TOR,TBL,W,1,1,2,2,0,1,0,0,0,1,0,0,3,33.3,22,15:36,1,0,0,
9,2016-03-17,23-282,TOR,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,21,15:17,4,0,0,
10,2016-03-19,23-284,TOR,BUF,W,0,0,0,0,12,0,0,0,0,0,0,0,2,0.0,22,15:42,3,0,0,
11,2016-03-21,23-286,TOR,CGY,W,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,22,15:43,1,0,0,
12,2016-03-24,23-289,TOR,ANA,W,0,1,1,0,2,0,0,0,0,1,0,0,0,,25,16:17,1,0,0,
13,2016-03-26,23-291,TOR,BOS,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,26,18:54,6,0,0,
14,2016-03-28,23-293,TOR,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,24,17:20,3,0,0,
15,2016-03-29,23-294,TOR,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,20,13:33,1,0,0,
16,2016-10-12,24-125,TOR,OTT,L-OT,0,1,1,4,0,0,0,0,0,1,0,0,0,,23,14:39,0,0,1,0.0
17,2016-10-15,24-128,TOR,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,22,16:35,1,3,1,75.0
18,2016-10-19,24-132,TOR,WPG,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,2,0.0,21,16:30,0,1,1,50.0
19,2016-10-20,24-133,TOR,MIN,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0.0,23,16:38,1,0,3,0.0
20,2016-10-22,24-135,TOR,CHI,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,17:14,2,0,2,0.0
21,2016-10-25,24-138,TOR,TBL,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,24,16:11,1,1,0,100.0
22,2016-10-27,24-140,TOR,FLA,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,20,15:48,1,0,0,
23,2016-10-29,24-142,TOR,MTL,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,22,16:01,2,1,0,100.0
24,2016-10-30,24-143,TOR,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0.0,25,16:06,2,1,0,100.0
25,2016-11-01,24-145,TOR,EDM,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,26,19:45,3,0,0,
26,2016-11-03,24-147,TOR,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,26,17:44,2,0,1,0.0
27,2016-11-05,24-149,TOR,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,16:58,4,0,0,
28,2016-11-08,24-152,TOR,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,0,,22,16:45,2,0,1,0.0
29,2016-11-11,24-155,TOR,PHI,W,1,0,1,0,0,1,0,0,1,0,0,0,2,50.0,20,13:05,4,0,1,0.0
30,2016-11-12,24-156,TOR,PIT,L,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,25,18:09,1,0,1,0.0
31,2016-11-15,24-159,TOR,NSH,W,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,18:26,1,0,0,
32,2016-11-17,24-161,TOR,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,21,14:59,1,0,0,
33,2016-11-19,24-163,TOR,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,21,15:04,2,0,0,
34,2016-11-22,24-166,TOR,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,20,15:56,2,0,0,
35,2016-11-23,24-167,TOR,NJD,L-SO,0,2,2,1,0,0,0,0,0,2,0,0,1,0.0,26,16:37,0,0,0,
36,2016-11-26,24-170,TOR,WSH,W,0,1,1,1,2,0,0,0,0,1,0,0,2,0.0,23,16:17,1,0,0,
37,2016-11-29,24-173,TOR,EDM,W,1,0,1,1,2,1,0,0,0,0,0,0,5,20.0,25,14:59,1,0,0,
38,2016-11-30,24-174,TOR,CGY,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,22,15:33,0,0,0,
39,2016-12-03,24-177,TOR,VAN,L-SO,0,1,1,0,0,0,0,0,0,1,0,0,1,0.0,24,15:38,0,0,0,
40,2016-12-07,24-181,TOR,MIN,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,21,16:09,1,1,0,100.0
41,2016-12-10,24-184,TOR,BOS,W,1,0,1,2,0,1,0,0,1,0,0,0,1,100.0,19,13:45,2,0,0,
42,2016-12-11,24-185,TOR,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,24,18:40,2,0,0,
43,2016-12-13,24-187,TOR,SJS,L-SO,1,0,1,0,0,1,0,0,0,0,0,0,4,25.0,26,18:04,1,0,0,
44,2016-12-15,24-189,TOR,ARI,L-SO,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,27,16:48,0,0,0,
45,2016-12-17,24-191,TOR,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0.0,22,19:51,3,0,0,
46,2016-12-19,24-193,TOR,ANA,L,0,1,1,1,2,0,0,0,0,1,0,0,4,0.0,24,17:21,1,0,0,
47,2016-12-22,24-196,TOR,COL,W,0,0,0,2,0,0,0,0,0,0,0,0,3,0.0,28,19:03,1,0,0,
48,2016-12-23,24-197,TOR,ARI,W,0,1,1,0,2,0,0,0,0,1,0,0,1,0.0,29,18:16,1,0,0,
49,2016-12-28,24-202,TOR,FLA,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,29,20:17,1,1,0,100.0
