,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2016-10-13,21-339,WSH,PIT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,17,14:46,1,3,0,100.0
1,2016-10-15,21-341,WSH,NYI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,10:35,1,0,0,
2,2016-10-22,21-348,WSH,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,15,10:23,0,0,0,
3,2016-10-26,21-352,WSH,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,16,11:32,1,1,0,100.0
4,2016-10-29,21-355,WSH,VAN,W,0,0,0,-1,0,0,0,0,0,0,0,0,0,,10,7:24,1,0,0,
5,2016-10-30,21-356,WSH,CGY,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,13,10:31,0,0,0,
6,2016-11-01,21-358,WSH,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:44,1,0,0,
7,2016-11-03,21-360,WSH,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,9:08,1,1,0,100.0
8,2016-11-05,21-362,WSH,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:46,0,0,0,
9,2016-11-08,21-365,WSH,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,8:58,0,0,0,
10,2016-11-11,22-002,WSH,CHI,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,9,7:21,1,0,1,0.0
11,2016-11-12,22-003,WSH,CAR,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,15,11:33,0,0,0,
12,2016-11-15,22-006,WSH,CBJ,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,15,10:12,0,0,0,
13,2016-11-16,22-007,WSH,PIT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,10:33,1,0,1,0.0
14,2016-11-18,22-009,WSH,DET,W,0,0,0,1,2,0,0,0,0,0,0,0,2,0.0,20,13:11,1,0,1,0.0
15,2016-11-20,22-011,WSH,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,10:49,0,4,4,50.0
16,2016-11-23,22-014,WSH,STL,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,14,10:47,0,0,0,
17,2016-11-25,22-016,WSH,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,14,6:37,0,0,0,
18,2016-11-26,22-017,WSH,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,15,8:23,1,0,0,
19,2016-12-17,22-038,WSH,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,9:26,1,1,1,50.0
20,2017-02-11,22-094,WSH,ANA,W,1,0,1,0,0,1,0,0,1,0,0,0,1,100.0,16,9:52,1,0,0,
21,2017-02-18,22-101,WSH,DET,L-SO,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,14,10:09,0,0,0,
22,2017-02-19,22-102,WSH,NYR,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,11:46,3,0,0,
23,2017-02-22,22-105,WSH,PHI,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,18,10:42,1,0,0,
24,2017-02-24,22-107,WSH,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,10:04,2,0,0,
