,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2018-04-05,21-128,VEG,EDM,L,0,0,0,3,0,0,0,0,0,0,0,0,0,,20,16:42,0,0,0,
1,2020-02-01,23-065,VEG,NSH,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,17,13:34,1,0,0,
2,2020-02-04,23-068,VEG,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,23,13:51,2,0,0,
3,2020-02-06,23-070,VEG,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0.0,19,12:12,1,0,0,
4,2020-02-08,23-072,VEG,CAR,L-SO,0,0,0,1,4,0,0,0,0,0,0,0,2,0.0,21,17:06,0,0,0,
5,2020-02-11,23-075,VEG,MIN,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,15:36,0,0,0,
6,2020-02-15,23-079,VEG,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:21,0,0,0,
7,2020-02-17,23-081,VEG,WSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,17,13:41,0,0,0,
8,2020-02-22,23-086,VEG,FLA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:31,0,0,0,
9,2020-02-23,23-087,VEG,ANA,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,22,15:23,1,0,0,
10,2020-02-26,23-090,VEG,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,14,11:01,1,0,0,
11,2020-02-28,23-092,VEG,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,22,17:27,1,0,0,
12,2020-03-01,23-094,VEG,LAK,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,16,11:42,0,0,0,
13,2020-03-03,23-096,VEG,NJD,W,0,0,0,1,0,0,0,0,0,0,0,0,0,,22,17:32,2,0,0,
