,date,age,team,opposition,game_result,all_goals,all_assists,all_points,plus_minus,pims,evg,ppg,shg,gwg,eva,ppa,sha,shots,shot_pct,num_shifts,toi,hits,FO_win,FO_Loss,FO_pct
0,2019-02-11,22-218,VAN,SJS,L,0,1,1,-2,0,0,0,0,0,1,0,0,2,0.0,15,9:45,1,0,1,0.0
1,2019-02-13,22-220,VAN,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,7:33,1,0,0,
2,2019-02-14,22-221,VAN,LAK,W,0,0,0,-2,0,0,0,0,0,0,0,0,0,,13,8:52,2,0,0,
3,2019-02-16,22-223,VAN,SJS,L,0,0,0,0,5,0,0,0,0,0,0,0,0,,6,2:34,0,0,0,
4,2019-11-21,23-136,VAN,NSH,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:53,1,0,0,
5,2019-11-23,23-138,VAN,WSH,W,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,21,13:16,1,0,0,
6,2019-11-25,23-140,VAN,PHI,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,16,12:17,3,0,0,
7,2019-11-27,23-142,VAN,PIT,L,0,1,1,2,0,0,0,0,0,1,0,0,0,,19,11:32,2,0,0,
8,2019-11-30,23-145,VAN,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,11,5:59,3,0,0,
9,2019-12-01,23-146,VAN,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,5:57,3,0,0,
10,2019-12-03,23-148,VAN,OTT,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,12,9:17,6,0,0,
11,2019-12-12,23-157,VAN,CAR,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:15,2,0,0,
12,2020-02-06,23-213,VAN,MIN,L,0,0,0,-1,7,0,0,0,0,0,0,0,1,0.0,22,12:44,0,0,0,
13,2020-02-10,23-217,VAN,NSH,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,19,13:08,2,0,0,
14,2020-02-12,23-219,VAN,CHI,W,0,0,0,0,2,0,0,0,0,0,0,0,0,,15,9:43,2,0,0,
15,2020-02-16,23-223,VAN,ANA,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,20,13:41,5,0,0,
16,2020-03-01,23-237,VAN,CBJ,L,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,18,9:08,0,0,0,
17,2020-03-04,23-240,VAN,ARI,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,12,7:13,1,1,0,100.0
18,2020-03-06,23-242,VAN,COL,W,2,0,2,2,2,2,0,0,0,0,0,0,2,100.0,15,7:15,4,0,0,
19,2020-03-08,23-244,VAN,CBJ,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,16,10:11,2,0,0,
20,2020-03-10,23-246,VAN,NYI,W,1,0,1,2,0,1,0,0,0,0,0,0,2,50.0,13,7:00,4,0,1,0.0
21,2021-01-13,24-189,VAN,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,14,7:11,3,0,0,
22,2021-01-14,24-190,VAN,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,7:31,2,0,0,
23,2021-01-16,24-192,VAN,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,6:50,0,0,0,
24,2021-01-23,24-199,VAN,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,16,9:51,4,2,0,100.0
25,2021-01-25,24-201,VAN,OTT,W,0,0,0,1,7,0,0,0,0,0,0,0,1,0.0,11,6:28,1,0,0,
26,2021-01-27,24-203,VAN,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,13,8:00,2,0,0,
27,2021-01-28,24-204,VAN,OTT,W,0,0,0,0,5,0,0,0,0,0,0,0,3,0.0,16,10:21,3,0,0,
28,2021-01-30,24-206,VAN,WPG,W,1,0,1,1,0,1,0,0,0,0,0,0,2,50.0,15,7:07,2,0,0,
29,2021-02-01,24-208,VAN,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,19,10:48,1,0,0,
30,2021-02-02,24-209,VAN,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,12,6:59,3,0,1,0.0
31,2021-02-11,24-218,VAN,CGY,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,6,3:24,1,0,0,
32,2021-02-21,24-228,VAN,WPG,L-OT,0,0,0,0,5,0,0,0,0,0,0,0,2,0.0,8,6:09,2,0,1,0.0
33,2021-02-23,24-230,VAN,EDM,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,12,8:54,2,0,0,
34,2021-03-01,24-236,VAN,WPG,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,15,10:27,1,0,0,
35,2021-03-02,24-237,VAN,WPG,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,12,9:03,3,0,0,
36,2021-03-13,24-248,VAN,EDM,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,9,6:06,2,0,0,
37,2021-03-15,24-250,VAN,OTT,W,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,5:58,2,0,0,
38,2021-03-17,24-252,VAN,OTT,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,13,7:45,5,0,0,
39,2021-03-19,24-254,VAN,MTL,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,17,9:59,1,0,0,
40,2021-03-20,24-255,VAN,MTL,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,0,,13,8:20,1,0,0,
41,2021-03-22,24-257,VAN,WPG,L,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,15,9:04,3,0,0,
42,2021-03-24,24-259,VAN,WPG,L,0,0,0,0,5,0,0,0,0,0,0,0,1,0.0,11,8:38,1,0,1,0.0
43,2021-04-24,24-290,VAN,OTT,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,13,7:54,3,1,0,100.0
44,2021-04-28,24-294,VAN,OTT,L,0,0,0,-2,7,0,0,0,0,0,0,0,0,,15,9:15,2,0,0,
45,2021-04-29,24-295,VAN,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,0,,11,7:11,1,0,0,
46,2021-05-01,24-297,VAN,TOR,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,20,12:35,1,0,0,
47,2021-05-03,24-299,VAN,EDM,L,0,0,0,0,0,0,0,0,0,0,0,0,0,,18,10:39,2,0,0,
